anyo;cut_region;region;cut_provincia;provincia;cut_comuna_anyocenso;cut_comuna;comuna;cut_distrito;distrito;censo_viviendas_totales;censo_viviendas_ocupadas;censo_viviendas_desocupadas;censo_viviendas_urbanas;censo_viviendas_rurales;censo_viviendas_tipo_casa;censo_viviendas_tipo_departamento;censo_viviendas_tipo_otros;censo_viviendas_agua_por_red_publica;censo_viviendas_agua_por_pozo_o_noria;censo_viviendas_agua_por_camion;censo_viviendas_agua_por_rio;censo_viviendas_agua_por_otro;censo_viviendas_agua_no_se_puede_determinar;censo_viviendas_tratamiento_aguas_por_red_publica_alcantarillado;censo_viviendas_tratamiento_aguas_por_pozo_fosa_septica;censo_viviendas_tratamiento_aguas_por_red_publica_alcantarillado_o_fosa_septica;censo_viviendas_tratamiento_aguas_por_pozo_negro;censo_viviendas_tratamiento_aguas_por_otro;censo_viviendas_tratamiento_aguas_no_tiene;censo_viviendas_tratamiento_aguas_no_se_puede_determinar;censo_viviendas_electricidad_por_red_publica;censo_viviendas_electricidad_por_generador;censo_viviendas_electricidad_por_ernc;censo_viviendas_electricidad_por_otro;censo_viviendas_electricidad_no_tiene;censo_viviendas_electricidad_no_se_puede_determinar;censo_total_poblacion;num_distrito
1982;1;De Tarapacá;14;Tamarugal;214;1405;Pica;14053;;79;32;47;0;79;22;0;57;0;0;;31;0.0;48.0;;;0.0;1.0;0.0;;;18.0;;;;13.0;48.0;134;3
1982;1;De Tarapacá;14;Tamarugal;214;1405;Pica;14054;;16;4;12;0;16;0;0;16;0;0;;3;0.0;13.0;;;;;;;;0.0;;;;3.0;13.0;10;4
1982;1;De Tarapacá;14;Tamarugal;215;1401;Pozo Almonte;14011;;661;639;22;581;80;538;2;121;584;11;;0;9.0;57.0;;;284.0;293.0;0.0;;;510.0;;;;94.0;57.0;3395;1
1982;1;De Tarapacá;14;Tamarugal;215;1401;Pozo Almonte;14012;;289;153;136;0;289;230;1;58;31;11;;97;1.0;149.0;;;51.0;51.0;0.0;;;75.0;;;;65.0;149.0;497;2
1982;1;De Tarapacá;14;Tamarugal;215;1401;Pozo Almonte;14013;;975;288;687;0;975;593;0;382;191;54;;8;10.0;712.0;;;82.0;125.0;0.0;;;164.0;;;;99.0;712.0;799;3
1982;1;De Tarapacá;14;Tamarugal;215;1401;Pozo Almonte;14015;;68;42;26;0;68;24;0;44;0;0;;37;2.0;29.0;;;9.0;12.0;0.0;;;26.0;;;;13.0;29.0;157;5
1982;1;De Tarapacá;14;Tamarugal;215;1401;Pozo Almonte;14016;;7;7;0;0;7;3;0;4;0;1;;0;2.0;4.0;;;0.0;2.0;0.0;;;0.0;;;;3.0;4.0;27;6
1982;1;De Tarapacá;14;Tamarugal;215;1401;Pozo Almonte;14017;;39;39;0;0;39;32;0;7;1;8;;0;25.0;5.0;;;4.0;18.0;0.0;;;9.0;;;;25.0;5.0;137;7
1982;2;De Antofagasta;23;Tocopilla  ;220;2301;Tocopilla;23011;;791;711;80;791;0;675;21;95;656;1;;0;23.0;111.0;;;589.0;60.0;0.0;;;672.0;;;;8.0;111.0;2600;1
1982;2;De Antofagasta;23;Tocopilla  ;220;2301;Tocopilla;23012;;1121;1044;77;1121;0;927;146;48;947;4;;4;43.0;123.0;;;697.0;284.0;0.0;;;957.0;;;;41.0;123.0;4186;2
1982;2;De Antofagasta;23;Tocopilla  ;220;2301;Tocopilla;23013;;2856;2710;146;2801;55;2376;123;357;2461;19;;0;140.0;236.0;;;1172.0;1369.0;0.0;;;2437.0;;;;183.0;236.0;11588;3
1982;2;De Antofagasta;23;Tocopilla  ;220;2301;Tocopilla;23014;;2;2;0;0;2;2;0;0;2;0;;0;0.0;0.0;;;2.0;0.0;0.0;;;1.0;;;;1.0;0.0;7;4
1982;2;De Antofagasta;23;Tocopilla  ;220;2301;Tocopilla;23015;;85;37;48;0;85;61;0;24;0;0;;0;33.0;52.0;;;1.0;6.0;0.0;;;1.0;;;;32.0;52.0;147;5
1982;2;De Antofagasta;23;Tocopilla  ;220;2301;Tocopilla;23016;;1031;941;90;1023;8;959;19;53;884;0;;0;32.0;115.0;;;781.0;129.0;0.0;;;888.0;;;;28.0;115.0;3674;6
1982;2;De Antofagasta;23;Tocopilla  ;221;2302;María Elena;23021;;106;75;31;0;106;90;1;15;5;0;;0;60.0;41.0;;;1.0;60.0;0.0;;;52.0;;;;13.0;41.0;217;1
1982;2;De Antofagasta;23;Tocopilla  ;221;2302;María Elena;23022;;2;2;0;0;2;2;0;0;1;0;;0;1.0;0.0;;;1.0;0.0;0.0;;;0.0;;;;2.0;0.0;8;2
1982;2;De Antofagasta;23;Tocopilla  ;221;2302;María Elena;23023;;3;3;0;0;3;1;0;2;1;0;;0;0.0;2.0;;;1.0;0.0;0.0;;;0.0;;;;1.0;2.0;20;3
1982;2;De Antofagasta;23;Tocopilla  ;221;2302;María Elena;23024;;1676;1605;71;1670;6;1626;20;30;1559;0;;0;3.0;114.0;;;1521.0;4.0;0.0;;;1559.0;;;;3.0;114.0;7652;4
1982;2;De Antofagasta;23;Tocopilla  ;221;2302;María Elena;23025;;4;4;0;0;4;2;0;2;3;0;;0;1.0;0.0;;;3.0;0.0;0.0;;;2.0;;;;2.0;0.0;5;5
1982;2;De Antofagasta;23;Tocopilla  ;221;2302;María Elena;23026;;1870;1775;95;1860;10;1812;26;32;1669;0;;17;2.0;182.0;;;1641.0;12.0;0.0;;;1686.0;;;;2.0;182.0;8120;6
1982;2;De Antofagasta;22;El Loa;225;2201;Calama;22011;;18911;17752;1159;18076;835;16220;473;2218;16012;185;;117;902.0;1695.0;;;9115.0;7379.0;1.0;;;15480.0;;;;1736.0;1695.0;83279;1
1982;2;De Antofagasta;22;El Loa;225;2201;Calama;22012;;4593;4186;407;4591;2;3364;1183;46;3926;0;;2;1.0;664.0;;;3864.0;11.0;0.0;;;3928.0;;;;1.0;664.0;16925;2
1982;2;De Antofagasta;22;El Loa;225;2201;Calama;22013;;28;13;15;0;28;16;0;12;0;0;;10;0.0;18.0;;;1.0;2.0;0.0;;;1.0;;;;9.0;18.0;83;3
1982;2;De Antofagasta;22;El Loa;225;2201;Calama;22014;;3;3;0;0;3;1;0;2;0;0;;0;0.0;3.0;;;;;;;;0.0;;;;0.0;3.0;114;4
1982;2;De Antofagasta;22;El Loa;226;2202;Ollagüe;22021;;244;182;62;0;244;222;0;22;155;0;;2;1.0;86.0;;;68.0;61.0;0.0;;;146.0;;;;12.0;86.0;598;1
1982;2;De Antofagasta;22;El Loa;226;2202;Ollagüe;22022;;14;10;4;0;14;10;0;4;0;0;;4;3.0;7.0;;;0.0;6.0;0.0;;;4.0;;;;3.0;7.0;56;2
1982;2;De Antofagasta;22;El Loa;227;2203;San Pedro de Atacama;22031;;628;370;258;0;628;519;1;108;134;0;;213;11.0;270.0;;;46.0;282.0;0.0;;;93.0;;;;265.0;270.0;1379;1
1982;2;De Antofagasta;22;El Loa;227;2203;San Pedro de Atacama;22032;;257;153;104;0;257;222;2;33;114;0;;27;4.0;112.0;;;19.0;111.0;0.0;;;96.0;;;;49.0;112.0;636;2
1982;2;De Antofagasta;22;El Loa;227;2203;San Pedro de Atacama;22033;;185;122;63;0;185;179;0;6;0;2;;118;0.0;65.0;;;5.0;109.0;0.0;;;82.0;;;;38.0;65.0;563;3
1982;2;De Antofagasta;21;Antofagasta;230;2101;Antofagasta;21011;;2789;2367;422;2768;21;2331;264;194;2161;11;;2;113.0;502.0;;;2070.0;130.0;0.0;;;2159.0;;;;128.0;502.0;10827;1
1982;2;De Antofagasta;21;Antofagasta;230;2101;Antofagasta;21012;;5607;5402;205;5607;0;4427;207;973;5165;29;;1;139.0;273.0;;;3321.0;1893.0;0.0;;;5038.0;;;;296.0;273.0;26434;2
1982;2;De Antofagasta;21;Antofagasta;230;2101;Antofagasta;21013;;6076;5810;266;6076;0;4642;914;520;5347;18;;1;210.0;500.0;;;4614.0;849.0;0.0;;;5382.0;;;;194.0;500.0;25365;3
1982;2;De Antofagasta;21;Antofagasta;230;2101;Antofagasta;21014;;7074;6928;146;7074;0;6222;21;831;6654;49;;0;145.0;226.0;;;4691.0;2075.0;0.0;;;6605.0;;;;243.0;226.0;36137;4
1982;2;De Antofagasta;21;Antofagasta;230;2101;Antofagasta;21015;;5720;5550;170;5720;0;4622;79;1019;5048;29;;23;381.0;239.0;;;2973.0;2431.0;0.0;;;5142.0;;;;339.0;239.0;27933;5
1982;2;De Antofagasta;21;Antofagasta;230;2101;Antofagasta;21016;;2672;2450;222;2672;0;1910;620;142;2259;0;;0;28.0;385.0;;;2173.0;59.0;0.0;;;2276.0;;;;11.0;385.0;9483;6
1982;2;De Antofagasta;21;Antofagasta;230;2101;Antofagasta;21017;;3833;3689;144;3833;0;3141;205;487;3181;15;;0;435.0;202.0;;;2589.0;956.0;0.0;;;3495.0;;;;136.0;202.0;18405;7
1982;2;De Antofagasta;21;Antofagasta;230;2101;Antofagasta;21018;;2160;2061;99;2160;0;1695;367;98;1929;0;;0;30.0;201.0;;;1827.0;85.0;0.0;;;1939.0;;;;20.0;201.0;10012;8
1982;2;De Antofagasta;21;Antofagasta;230;2101;Antofagasta;21019;;4888;4626;262;4888;0;2894;1946;48;4411;0;;0;4.0;473.0;;;4274.0;21.0;0.0;;;4413.0;;;;2.0;473.0;20620;9
1982;2;De Antofagasta;21;Antofagasta;230;2101;Antofagasta;21020;;270;127;143;166;104;169;1;100;58;3;;0;61.0;148.0;;;58.0;29.0;0.0;;;58.0;;;;64.0;148.0;427;10
1982;2;De Antofagasta;21;Antofagasta;230;2101;Antofagasta;21021;;159;122;37;0;159;136;0;23;107;0;;0;0.0;52.0;;;88.0;18.0;0.0;;;103.0;;;;4.0;52.0;565;11
1982;2;De Antofagasta;21;Antofagasta;230;2101;Antofagasta;21022;;6;5;1;0;6;6;0;0;0;5;;0;0.0;1.0;;;0.0;3.0;0.0;;;1.0;;;;4.0;1.0;9;12
1982;2;De Antofagasta;21;Antofagasta;230;2101;Antofagasta;21023;;12;11;1;0;12;3;0;9;2;0;;1;2.0;7.0;;;1.0;3.0;0.0;;;1.0;;;;4.0;7.0;124;13
1982;2;De Antofagasta;21;Antofagasta;231;2102;Mejillones;21021;;1314;886;428;1314;0;1065;1;248;752;17;;0;59.0;486.0;;;547.0;262.0;0.0;;;755.0;;;;73.0;486.0;3832;1
