anyo;cut_comuna_anyocenso;cut_distrito;censo_total_poblacion
1982;390;5;8889
1982;390;6;23743
1982;390;7;22083
1982;390;8;23980
1982;390;9;605
1982;390;10;2167
1982;390;11;10957
1982;390;12;6494
1982;391;1;2910
1982;391;2;2246
1982;391;4;2049
1982;392;1;4006
1982;392;2;1915
1982;392;3;1400
1982;392;4;1251
1982;392;5;2498
1982;393;1;10988
1982;393;2;2335
1982;393;3;2011
1982;393;4;1231
1982;393;5;1673
1982;393;6;939
1982;393;7;1615
1982;393;8;1967
1982;393;9;216
1982;393;10;1936
1982;393;11;2429
1982;393;12;2553
1982;393;13;4353
1982;394;1;1658
1982;394;2;634
1982;394;3;594
1982;394;4;1979
1982;394;5;956
1982;394;6;2073
1982;394;7;1727
1982;394;8;1998
1982;395;1;1866
1982;395;2;1085
1982;395;3;484
1982;395;4;641
1982;395;5;250
1982;396;1;1697
1982;396;2;1215
1982;396;3;899
1982;396;4;1197
1982;396;5;1155
1982;396;6;906
1982;396;7;745
1982;397;1;7080
1982;397;2;9716
1982;397;3;5111
1982;397;4;2938
1982;397;5;1859
1982;397;6;3563
1982;397;7;1330
1982;398;1;3130
1982;398;2;1314
1982;398;3;927
1982;398;4;1098
1982;398;5;710
1982;398;6;610
1982;398;7;682
1982;398;8;698
1982;398;9;1268
1982;398;10;1288
1982;398;11;898
1982;399;2;1010
1982;399;3;5251
1982;399;9;248
1982;400;1;7778
1982;400;2;9931
1982;400;3;8418
1982;400;4;12672
1982;400;5;3958
1982;400;6;7170
1982;400;7;4778
1982;400;8;6182
1982;400;9;1970
1982;401;1;2206
1982;401;2;1147
1982;401;3;2077
1982;401;4;989
1982;401;5;1640
1982;401;6;3136
1982;401;7;2420
1982;402;1;5638
1982;402;2;2606
1982;402;3;736
1982;402;4;354
1982;402;5;329
1982;402;6;520
1982;402;7;2574
1982;402;8;2937
1982;402;9;1092
1982;403;1;6438
1982;403;2;1365
1982;403;3;1410
1982;403;4;1986
1982;403;5;3630
1982;403;6;2440
1982;403;7;5090
1982;403;8;547
1982;403;9;536
1982;404;1;5561
1982;404;2;2953
1982;404;3;4457
1982;404;4;4958
1982;404;5;4010
1982;404;6;1251
1982;404;7;2136
1982;404;8;1754
1982;404;9;3045
1982;404;10;215
1982;404;11;1010
1982;404;12;2723
1982;404;13;388
1982;404;14;465
1982;405;1;6257
1982;405;2;1862
1982;405;3;2296
1982;405;4;1856
1982;405;5;1690
1982;405;6;4454
1982;406;1;5482
1982;406;2;1056
1982;406;3;1666
1982;406;4;3308
1982;406;5;1765
1982;406;6;1947
1982;407;1;2413
1982;407;2;3393
